"name","key_mlbam","key_bbref","key_fangraphs"
"Jed Bradley",605152,"bradlje01",13166
"Manuel Barrios",110625,"barrima01",1000605
"Byron Browne",111603,"brownby01",1001500
"Liván Hernández",115817,"hernali01",1116
"Mark Knudson",117218,"knudsma01",1007065
"Casey Sadler",594987,"sadleca02",11209
"Tomo Ohka",219594,"ohkato01",788
"Larry Littleton",117827,"littlla01",1007666
"Mark Lewis",117740,"lewisma01",1007585
"Miguel Asencio",407900,"asencmi01",586
"Jorge Vasquez",430655,"vasqujo01",2221
"Don Carrithers",112040,"carrido01",1001992
"Jeff Doyle",113525,"doyleje02",1003463
"Dan Smith",137203,"smithda05",1012120
"Craig Cacek",111852,"cacekcr01",1001808
"Herb Washington",123963,"washihe01",1013656
"Julio Valdez",123602,"valdeju01",1013312
"Tony Pena",430963,"penato03",4573
"Kerry Woodson",124568,"woodske01",1014240
"Greg Shanahan",122044,"shanagr01",1011787
"Tom Mastny",457826,"mastnto01",5768
"Adam Pettyjohn",282562,"pettyad01",489
"Hanley Ramirez",434670,"ramirha01",8001
"Tyler Smith",642094,"smithty01",12490
"Leo Cardenas",111982,"cardele01",1001938
"Al Nipper",119805,"nippeal01",1009602
"Tony Sipp",448609,"sippto01",8280
"Eric Valent",346858,"valener01",1629
"Mike Miley",119053,"mileymi01",1008864
"Chris Snelling",421684,"snellch02",1480
"Doug Creek",150034,"creekdo01",1202
"Randy Johnson",116617,"johnsra03",1006494
"John Mitchell",119193,"mitchjo02",1009003
"Jason Repko",434705,"repkoja01",2628
"Trent Durrington",227495,"durritr01",1805
"Daniel Moskos",446290,"moskoda01",2858
"Graham Taylor",501869,"taylogr01",3719
"Ryan Vogelsong",285064,"vogelry01",1011
"Kurt Kepshire",117006,"kepshku01",1006859
"Nate Spears",460621,"spearna01",6026
"Edwar Colina",666674,"colined01",20589
"Donnie Sadler",132620,"sadledo01",627
"Rafael Montalvo",119257,"montara01",1009061
"Roberto Gómez",596816,"gomezro01",12963
"Chris Bando",110525,"bandoch01",1000504
"Pete Smith",122443,"smithpe02",1012191
"Jake Petricka",502593,"petrija01",10534
"Matt Hall",664180,"hallma02",18076
"Orlando Cepeda",112157,"cepedor01",1002103
"J. C. Boscan",400268,"boscajc01",2324
"Steve Farr",114017,"farrst01",1003953
"Floyd Rayford",120958,"rayfofl01",1010724
"Alex Mejia",622270,"mejiaal01",13877
"Troy Scribner",644428,"scribtr01",15570
"Dean Kiekhefer",518883,"kiekhde01",10529
"Jim Weaver",124005,"weaveji02",1013700
"Steve Senteney",122003,"sentest01",1011748
"Wilson Ramos",467092,"ramoswi01",1433
"Jo-Jo Reyes",457456,"reyesjo03",5559
"Ed Halicki",115333,"haliced01",1005228
"Jordan Pacheco",457574,"pachejo01",2677
"Josh Satin",543744,"satinjo01",6788
"Todd Zeile",124755,"zeileto01",457
"Justin Miller",502522,"milleju02",8580
"Chris Howard",116199,"howarch01",1006072
"Bobby Clark",112339,"clarkbo04",1002269
"Brett Hayes",451109,"hayesbr01",4293
"Josh Pearce",407870,"pearcjo01",1175
"Mark Lemke",117668,"lemkema01",1007516
"Matt Merullo",118985,"merulma01",1008797
"Ryan Kurosaki",117368,"kurosry01",1007214
"Shayne Bennett",110875,"bennesh01",1000847
"Andy Barkett",406723,"barkean01",1000544
"Jordan Zimmermann",519455,"zimmejo02",4505
"Kyle Bird",613317,"birdky01",16618
"Travis Baptist",136270,"baptitr01",1000521
"Keith MacWhorter",118106,"macwhke01",1007937
"Yoslán Herrera",506648,"herreyo01",7759
"Neal Heaton",115683,"heatone01",1005568
"Jack Egbert",455090,"egberja01",7487
"Phil Nevin",119732,"nevinph01",1049
"Tim Laudner",117537,"laudnti01",1007381
"Jim Steels",122710,"steelji01",1012453
"Dan Otero",519096,"oteroda01",7385
"Dave Cheadle",112224,"cheadda01",1002170
"Adam Johnson",407053,"johnsad01",733
"Aaron Holbert",116058,"holbeaa01",1960
"Julio De Paula",451546,"depauju01",2786
"Joe Slusarski",122330,"slusajo01",1012071
"Ricky Bottalico",111262,"bottari01",948
"Jim Miles",119051,"milesji01",1008863
"Rafael Ynoa",501255,"ynoara01",2832
"Mike Chris",112260,"chrismi01",1002219
"Odrisamer Despaigne",628333,"despaod01",16017
"Masanori Murakami",119534,"murakma01",1009336
"Allen Ripley",121224,"ripleal01",1010979
"Rex Hudler",116258,"hudlere01",1006131
"Brett Carroll",448276,"carrobr01",8066
"Dennis Lewallyn",117727,"lewalde01",1007572
"Bien Figueroa",114115,"figuebi01",1004036
"Clay Parker",120230,"parkecl01",1009999
"Bucky Jacobsen",430944,"jacobbu02",2368
"Henry Cruz",112900,"cruzhe02",1002840
"Daniel Nava",537953,"navada01",5450
"Rusty Greer",115114,"greerru01",1252
"Doug Glanville",114844,"glanvdo01",956
"Patrick Schuster",572119,"schuspa01",10029
"Derrick Turnbow",276913,"turnbde01",1694
"Alex Hassan",572910,"hassaal01",9959
"Stephen Gonsalves",624427,"gonsast01",15492
"Ben Grieve",115132,"grievbe01",1209
"Jeff Wallace",123862,"wallaje01",1013550
"Jerry Narron",119655,"narroje01",1009453
"Mike Humphreys",116310,"humphmi01",1006187
"Juan Agosto",110088,"agostju01",1000084
"Troy O'Leary",119975,"o'leatr01",789
"Phil Stidham",122790,"stidhph01",1012531
"Nate Robertson",425146,"roberna01",1620
"Collin Cowgill",518577,"cowgico01",7250
"Barry Bonnell",111201,"bonneba01",1001171
"Jeff Schneider",121847,"schneje01",1011595
"Doug Davis",150277,"davisdo02",1244
"John Herrnstein",115855,"herrnjo01",1005735
"Bill Fulton",114489,"fultobi01",1004403
"Scott Downs",275933,"downssc01",773
"Jay Buente",502055,"buentja01",9494
"Connor Robertson",452075,"roberco01",7705
"Jim Bowie",111295,"bowieji01",1001257
"Brandon Barnes",488681,"barnebr02",629
"Von Hayes",115646,"hayesvo01",1005531
"Rafael Landestoy",117450,"landera01",1007292
"Jason Alfaro",430898,"alfarja01",2388
"Danny Perez",120406,"perezda01",1010180
"Roger Weaver",124010,"weavero01",1013704
"Joey Eischen",113784,"eischjo01",774
"Craig Counsell",112736,"counscr01",52
"D. J. Dozier",113536,"dozied.01",1003471
"Preston Claiborne",502011,"claibpr01",10500
"Charlie Williams",124292,"willich01",1013980
"Orel Hershiser",115861,"hershor01",1005741
"Walt Hriniak",116244,"hriniwa01",1006118
"Mark Mercer",118965,"mercema01",1008777
"Spencer Turnbull",605513,"turnbsp01",16207
"Mike Squires",122628,"squirmi01",1012371
"Dave Stegman",122716,"stegmda01",1012460
"Al Pedrique",120349,"pedrial01",1010121
"Ryan Dennick",572810,"denniry01",9261
"Bob Barton",110648,"bartobo01",1000630
"Nick Johnson",276376,"johnsni01",828
"Jordan Danks",458668,"danksjo02",9187
"Bill Kelso",116965,"kelsobi01",1006820
"George Spriggs",122615,"sprigge01",1012359
"Dom Zanni",124742,"zannido01",1014417
"Kevin Melillo",448590,"melilke01",8278
"Greg Keagle",116871,"keaglgr01",1006726
"Matt Adams",571431,"adamsma01",9393
"Gabe Gross",408212,"grossga01",2184
"Hector Lopez",117918,"lopezhe01",1007755
"Ricky Gutierrez",115263,"gutieri01",387
"Bill Davis",113097,"davisbi01",1003034
"Chris Woodward",218595,"woodwch01",1329
"Dwayne Murphy",119551,"murphdw01",1009359
"Kyle Hudson",543340,"hudsoky01",3658
"Grant Green",502205,"greengr01",10053
"Marty Cordova",112682,"cordoma01",132
"Leo Marentette",118281,"marenle01",1008104
"Rosario Rodriguez",121364,"rodriro02",1011112
"Brandyn Sittinger",670087,"sittibr01",19192
"Rheal Cormier",112690,"cormirh01",952
"Will Pennyfeather",120387,"pennywi01",1010163
"Brailyn Marquez",666622,"marqubr01",21896
"Josh Stinson",502139,"stinsjo01",3219
"Mike Dunne",113642,"dunnemi01",1003570
"Dave Criscione",112830,"criscda01",1002771
"Juan Morillo",434623,"morilju01",3369
"John LaRose",117511,"larosjo01",1007357
"Garrett Crochet",676979,"crochga01",27463
"Todd Dunn",113641,"dunnto01",1003579
"Luis Marte",501687,"martelu01",8651
"Beau Taylor",607333,"taylobe11",12384
"Craig Brazell",425513,"brazecr01",2081
"Matt Tracy",595441,"tracyma01",12240
"Dave Hamilton",115379,"hamilda01",1005271
"Luke Montz",452215,"montzlu01",6601
"Greg Burke",457566,"burkegr01",6282
"Woodie Fryman",114466,"frymawo01",1004381
"Jason García",592329,"garcija03",12143
"Jeff Plympton",120632,"plympje01",1010401
"Jen-Ho Tseng",627500,"tsengje01",15524
"Jorge De Paula",425428,"depaujo01",1827
"Dennis Martinez",118371,"martide01",1008161
"Scott Fredrickson",114396,"fredrsc01",1004312
"Carlos Peguero",451713,"pegueca01",8760
"Jose Ortega",514639,"ortegjo01",9651
"Khris Davis",501981,"daviskh01",9112
"Pat Watkins",123980,"watkipa01",1013672
"Mike Grace",115009,"gracemi01",1004914
"Carlos Marmol",461791,"marmoca01",2790
"Rick Mahler",118162,"mahleri01",1007988
"Carl Sadler",424725,"sadleca01",1568
"A. J. Cole",595918,"coleaj01",11467
"Eddie Priest",133222,"priesed01",1010534
"Greg Garcia",594824,"garcigr01",10951
"Kevin Batiste",110685,"batiske01",1000665
"Ross Moschitto",119431,"moschro01",1009237
"Edgar Martinez",118365,"martied01",1086
"Armando Reynoso",121117,"reynoar02",72
"Ron Theobald",123221,"theobro01",1012949
"Chris Richard",276537,"richach01",163
"Stu Tate",123105,"tatest01",1012839
"Wes Bankston",457821,"bankswe01",4661
"Dan Firova",114144,"firovda01",1004064
"Jesse Foppert",425817,"foppeje01",1688
"Austen Williams",657117,"williau01",16309
"Reggie Abercrombie",430631,"abercre01",2187
"Mike Madden",118110,"maddemi01",1007944
"Willy Taveras",430838,"taverwi01",1876
"Ian Parmley",622210,"parmlia01",13821
"Brian Jordan",116747,"jordabr01",658
"Ron Tingley",123352,"tinglro01",1013074
"Chuck Hensley",115796,"henslch01",1005680
"Cam Bedrosian",592135,"bedroca01",13360
"Chad Billingsley",451532,"billich01",5842
"Sammy Stewart",122783,"stewasa01",1012528
"Morrie Steevens",122714,"steevmo01",1012458
"Scott Cousins",502161,"cousisc01",173
"Chris Truby",150067,"trubych01",799
"Tim Laker",117420,"lakerti01",1681
"Cardell Camper",111942,"campeca01",1001894
"Devin Mesoraco",519023,"mesorde01",5666
"Bobby Bonilla",111199,"bonilbo01",1001168
"Brian Denman",113267,"denmabr01",1003205
"Daniel Muno",594940,"munoda01",12214
"Rudy Seanez",121955,"seaneru01",1279
"Harry Chappas",112207,"chappha01",1002154
"Carlos Silva",400067,"silvaca01",973
"Bobby Thompson",123275,"thompbo01",1013002
"Paul Edmondson",113746,"edmonpa01",1003680
"Carlos May",118468,"mayca01",1008291
"Joe Rosselli",121482,"rossejo01",1011228
"Mark Ellis",407885,"ellisma01",1443
"César Puello",527049,"puellce01",7216
"Jackson Todd",123373,"toddja01",1013096
"Keith Brown",111565,"brownke02",1001534
"Rich Aude",110375,"auderi01",1000361
"Leo Gomez",114911,"gomezle02",1004822
"Brian Giles",114788,"gilesbr01",1004702
"Jeff Lahti",117412,"lahtije01",1007257
"Mickey Storey",493547,"storemi01",4721
"Alex Cintron",400090,"cintral01",50
"Shannon Stewart",122784,"stewash01",1322
"Dickie Noles",119825,"nolesdi01",1009620
"Ramon Martinez",134002,"martira03",1120
"Nelson Santovenia",121700,"santone01",1011445
"Mickey Lolich",117875,"lolicmi01",1007712
"Eric Moody",119276,"moodyer01",1009080
"Jason Boyd",150150,"boydja02",1020
"Coco Crisp",424825,"crispco01",1572
"Dick Schofield",121853,"schofdi01",1011601
"Anthony Young",124685,"youngan01",1014362
"Pat Borders",111232,"bordepa01",1068
"Matt Maloney",476011,"malonma02",9920
"Sid Fernandez",114074,"fernasi01",1004001
"Kevin Joseph",276529,"josepke01",1160
"Tilson Brito",111483,"britoti01",1001446
"Francisco Peguero",501317,"peguefr01",5496
"Rod Carew",111986,"carewro01",1001942
"Derek Thompson",425663,"thompde01",2126
"Heathcliff Slocumb",122329,"slocuhe01",1012069
"Carlos Castillo",112111,"castica02",1002060
"Tim Unroe",123568,"unroeti01",1013284
"Tyson Ross",475115,"rossty01",7872
"Ben Bowden",641386,"bowdebe01",20198
"Josh Edgin",572831,"edginjo01",10796
"Dave Schmidt",121829,"schmida02",1011581
"Steve Wojciechowski",124500,"wojcist01",1014181
"Chris Schwinden",452737,"schwich01",7851
"Kevin Gregg",276514,"greggke01",1793
"Claudell Washington",123962,"washicl01",1013654
"Adalberto Mendez",458657,"mendead01",3752
"Logan Morrison",489149,"morrilo01",9205
"Doug Dascenzo",113062,"dascedo01",1002998
"Rusty Tillman",123345,"tillmru01",1013068
"Tim Blackwell",111050,"blackti01",1001022
"Luis Matos",275928,"matoslu01",152
"Ramon de los Santos",113244,"delosra01",1003181
"Jose Tabata",467798,"tabatjo01",2411
"Jake Wood",124533,"woodja01",1014220
"Tony Pena",430640,"penato02",2240
"Glenn Dishman",113389,"dishmgl01",1003324
"Tug McGraw",118724,"mcgratu01",1008545
"Brian Duensing",488846,"duensbr01",4064
"Ted Sizemore",122287,"sizemte01",1012027
"John Sanders",121669,"sandejo01",1011416
"Guillermo Velasquez",123691,"velasgu01",1013396
"Woody Woodward",124571,"woodwwo01",1014250
"Brent Lillibridge",452121,"lillibr01",3501
"Dan Osinski",120093,"osinsda01",1009875
"Kevin Nicholson",150441,"nichode01",1009563
"Mark Hamburger",523648,"hambuma01",5329
"Scott Mullen",150206,"mullesc01",618
"Pedro Munoz",119527,"munozpe01",1009331
"Kennie Steenstra",132640,"steenke01",1012455
"Steve Cummings",112938,"cummist01",1002875
"Bill Laxton",117567,"laxtobi01",1007411
"Rich Gossage",114989,"gossari01",1004894
"Carlos Rivera",425346,"riverca01",1749
"Ronn Reynolds",121113,"reynoro02",1010874
"Mike Rivera",407576,"rivermi02",493
"Matt Beech",110788,"beechma01",1000770
"John Morris",119400,"morrijo06",1009219
"Jonathan Lucroy",518960,"lucrojo01",7870
"Ricardo Jordan",116758,"jordari03",1006616
"Shawn Kelley",518875,"kellesh01",7773
"Kyle Martin",573016,"martiky01",14860
"Matt Wise",277184,"wisema01",42
"Kyle Snyder",216897,"snydeky01",1689
"Pedro Borbon",111228,"borbope02",1289
"Edgar García",658305,"garcied01",19276
"Gary Boyd",111314,"boydga01",1001277
"Cecil Espy",113906,"espyce01",1003832
"Tommy Toms",123393,"tomsto01",1013115
"Harvey Haddix",115289,"haddiha01",1005184
"Miguel Del Pozo",600887,"delpomi01",18792
"Carlos Baerga",110427,"baergca01",175
"J. R. Murphy",571974,"murphjr01",10346
"Dave Coggin",150102,"coggida01",951
"Mike Cook",112626,"cookmi01",1002573
"Ben Davis",150433,"davisbe01",1074
"Bartolome Fortunato",430627,"fortuba01",2213
"Joe Torre",123406,"torrejo01",1013133
"David Manning",425857,"mannida01",1785
"Joel Zumaya",451491,"zumayjo01",4699
"Chris Rearick",595371,"rearich01",11050
"Doug Jones",116682,"jonesdo01",1006552
"Tyler Bashlor",641341,"bashlty01",15203
"Preston Wilson",133343,"wilsopr01",545
"Ricky Horton",116163,"hortori01",1006036
"Dave Meads",118893,"meadsda01",1008708
"Shawn Holman",116099,"holmash01",1005973
"Mario Mendoza",118945,"mendoma01",1008760
"Jim Spencer",122584,"spencji01",1012325
"Huck Flener",114230,"flenehu01",1004148
"Ron Brand",111383,"brandro01",1001351
"Ivan Ochoa",430649,"ochoaiv01",2199
"Tony Mounce",429481,"mouncto01",1739
"Scott Patterson",456499,"pattesc01",5
"Joe Adcock",110071,"adcocjo01",1000067
"Carl Morton",119423,"mortoca01",1009230
"Santo Alcala",110114,"alcalsa01",1000110
"Dave Stapleton",122683,"staplda02",1012424
"Jeanmar Gómez",491646,"gomezje01",9033
"Jose De Paula",517059,"depaujo02",5744
"Jaye Chapman",488776,"chapmja02",9096
"Sam LeCure",459967,"lecursa01",4664
"Carroll Hardy",115460,"hardyca01",1005349
"Fernando Gonzalez",114930,"gonzafe01",1004832
"Julio Manon",408249,"manonju01",1732
"Jack Daugherty",113072,"daughja01",1003009
"Butch Henry",115783,"henrybu01",1005667
"Jeff D'Amico",150419,"d'amije02",1002961
"Jim McAndrew",118509,"mcandji01",1008328
"Bill Skowron",122303,"skowrbi01",1012043
"Alex Pacheco",120153,"pacheal01",1009934
"Luis DeLeon",113230,"deleolu01",1003169
"Gene Harris",115535,"harrige01",1005414
"Justin Hancock",606995,"hancoju01",12316
"Dave Smith",122371,"smithda02",1012117
"Mickey Morandini",119347,"moranmi01",1009151
"Mike Norris",119843,"norrimi01",1009637
"Roy Smith",122427,"smithro01",1012202
"Bill Stafford",122636,"staffbi01",1012375
"Octavio Dotel",136734,"doteloc01",555
"Mike Stenhouse",122739,"stenhmi01",1012483
"Kyle Funkhouser",608335,"funkhky01",19456
"Harry Spilman",122599,"spilmha01",1012343
"Tony Menendez",118949,"menento01",1008764
"Bill Virdon",123734,"virdobi01",1013437
"Pat Strange",407882,"stranpa02",896
"Lastings Milledge",451186,"millela02",6441
"Herman Hill",115937,"hillhe02",1005822
"Iván De Jesús",474443,"dejesiv02",9886
"Brent Mayne",118490,"maynebr01",614
"Angel Escobar",113896,"escoban01",1003823
"Dustin Moseley",400291,"moseldu01",7060
"Rob Lukachyk",117994,"lukacro01",1007825
"Seth Elledge",676220,"elledse01",19766
"Billy O'Dell",119931,"o'delbi01",1009724
"Mitch Atkins",444444,"atkinmi01",8369
"Dick Bosman",111252,"bosmadi01",1001215
"Greg Harris",115521,"harrigr01",1005415
"Masahiro Tanaka",547888,"tanakma01",15764
"Scott Aldred",110118,"aldresc01",1000115
"Luis Figueroa",292294,"figuelu01",776
"Joe Blanton",430599,"blantjo01",4849
"Tim Wakefield",123801,"wakefti01",219
"Tony Armas",150393,"armasto02",761
"Scott Loucks",117931,"loucksc01",1007764
"Ron Herbel",115799,"herbero01",1005685
"Jhonny Nunez",471919,"nunezjh01",6640
"Edgar Caceres",111853,"cacered01",1001809
"Dana Kiecker",117037,"kieckda01",1006890
"Josh Bell",458679,"belljo01",2510
"Mitch Webster",124025,"webstmi01",1013719
"Tom Wilson",134263,"wilsoto02",1328
"Francisco Peña",506747,"penafr01",8298
"Kevin Millwood",119154,"millwke01",106
"Brad Holman",116095,"holmabr02",1005970
"Marino Santana",136661,"santama01",1011439
"Steve Lubratich",117969,"lubrast01",1007800
"Chris Howard",116198,"howarch02",1006073
"Edgar Ramos",120909,"ramosed01",1010678
"Aurelio Lopez",117916,"lopezau01",1007753
"Greg Luzinski",118023,"luzingr01",1007855
"Tom Kramer",117292,"krameto01",1007139
"Ed Wojna",124503,"wojnaed01",1014183
"Brian Givens",114836,"givenbr01",1004749
"Christian Parker",150409,"parkech01",1009998
"Carlos Monasterios",467856,"monasca01",2506
"Jim Gott",114992,"gottji01",1004898
"Bob Johnson",116565,"johnsbo04",1006431
"Jeff Ferrell",594815,"ferreje01",11506
"Layne Somsen",643550,"somsela01",15301
"Vance Lovelace",117941,"lovelva01",1007773
"Mike Saipe",134182,"saipemi01",1011374
"Zach Neal",594943,"nealza01",11294
"Teddy Higuera",115921,"higuete01",1005799
"Daniel McCutchen",445216,"mccutda01",263
"Billy Ashley",110353,"ashlebi01",1000339
"Jim Nash",119659,"nashji01",1009458
"Todd Pratt",120747,"prattto02",968
"Byron McLaughlin",118792,"mclauby01",1008609
"Mike Cosgrove",112711,"cosgrmi01",1002651
"Chris Lambert",461836,"lambech01",8047
"Greg Keatley",116881,"keatlgr01",1006736
"Carson Blair",542942,"blairca01",5429
"Juan Brito",408226,"britoju01",592
"Luis Marté",606336,"martelu02",14515
"Don Hahn",115306,"hahndo01",1005202
"Joe Cunningham",112944,"cunnijo01",1002881
"Gregg Zaun",124748,"zaungr01",580
"Luis Sojo",122522,"sojolu01",1834
"Zach McClellan",444886,"mccleza01",2965
"Frank Carpin",112026,"carpifr01",1001982
"Cory Wade",460677,"wadeco01",7570
"Marc Wilkins",124270,"wilkima01",1013959
"David Doster",113488,"dosteda01",1003423
"Eddie Zambrano",124739,"zambred01",1014414
"Joe Ortiz",517451,"ortizjo05",7955
"Brad Glenn",543223,"glennbr01",7392
"Ken Schrom",121871,"schroke01",1011620
"Ryan Garton",623439,"gartory01",14016
"Dick Stuart",122897,"stuardi01",1012639
"Greg Wells",124073,"wellsgr01",1013767
"Yoervis Medina",500721,"medinyo01",10498
"Bobby Floyd",114262,"floydbo01",1004177
"Cotton Nash",119658,"nashco01",1009457
"Mike Frank",133980,"frankmi02",1004302
"Archie Reynolds",121101,"reynoar01",1010861
"Bill Sampen",121648,"sampebi01",1011395
"Joe Harvey",642840,"harvejo01",16459
"Russ Snyder",122513,"snyderu01",1012256
"Tony Rodriguez",121360,"rodrito01",1011115
"Cookie Rojas",121406,"rojasco01",1011152
"Bob Tewksbury",123213,"tewksbo01",1012941
"Butch Metzger",119000,"metzgbu01",1008811
"Jimmy Gobble",425471,"gobblji01",1791
"Stephen Ridings",670050,"ridinst01",22358
"Kevin Hart",453954,"hartke01",8079
"Sam McDowell",118659,"mcdowsa01",1008476
"Ken Ray",150208,"rayke01",1986
