"game_year","pitcher"
2015,115629
2016,150274
2015,234194
2015,276351
2017,276351
2015,276514
2016,276542
2017,276542
2015,279571
2016,279571
2017,279571
2018,279571
2015,329092
2015,346793
2015,346797
2015,346847
2015,400089
2015,407819
2016,407819
2017,407822
2018,407822
2019,407845
2015,407908
2016,407908
2015,408061
2016,408061
2017,408061
2015,424144
2016,424144
2017,424144
2018,424144
2019,424144
2021,424144
2016,425426
2017,425492
2018,425492
2016,425532
2015,425626
2016,425626
2015,425657
2016,425657
2015,425786
2015,425794
2015,425835
2015,425856
2016,425856
2015,429400
2016,429400
2015,429719
2015,429780
2016,429780
2015,429783
2015,430589
2016,430589
2017,430589
2017,430599
2015,430613
2015,430630
2016,430634
2015,430641
2017,430641
2018,430641
2015,430661
2015,430911
2019,431145
2021,431148
2015,431162
2017,432934
2015,433585
2015,433586
2016,433586
2018,433586
2016,433589
2015,434137
2015,434442
2016,434442
2017,434442
2015,434665
2016,434672
2016,434718
2017,434718
2017,435043
2018,435043
2019,435043
2015,435045
2015,435400
2016,435400
2017,435400
2015,444436
2016,444436
2015,444446
2016,444468
2016,444520
2017,444520
2015,444935
2015,445163
2015,445170
2015,445197
2016,445197
2017,445197
2018,445197
2019,445197
2015,445213
2016,445213
2018,445213
2019,445213
2021,445213
2015,445276
2015,445612
2021,445926
2015,445968
2016,445968
2017,446099
2018,446099
2016,446185
2021,446321
2015,446399
2016,446399
2017,446399
2018,446399
2015,446899
2017,446899
2015,447714
2016,447714
2017,447714
2015,447755
2016,447755
2015,448159
2018,448167
2016,448178
2018,448178
2015,448281
2016,448281
2017,448281
2018,448281
2021,448281
2015,448609
2016,448609
2017,448609
2018,448609
2019,448609
2015,448614
2018,448614
2019,448614
2015,449079
2015,449097
2016,449097
2016,449104
2015,449170
2017,449173
2019,450172
2015,450212
2016,450212
2017,450212
2018,450212
2019,450212
2015,450275
2016,450275
2015,450282
2017,450282
2015,451085
2016,451085
2016,451584
2019,451584
2021,451584
2015,451661
2016,451661
2017,451661
2018,451661
2015,451775
2016,451775
2016,451783
2016,452061
2016,452666
2017,452666
2015,452733
2016,452733
2015,453156
2015,453172
2016,453172
2017,453172
2021,453178
2015,453192
2018,453192
2021,453192
2018,453214
2019,453214
2015,453222
2015,453249
2016,453249
2015,453264
2018,453265
2019,453265
2021,453265
2021,453281
2016,453284
2021,453284
2017,453343
2018,453343
2016,453344
2017,453344
2018,453344
2015,453385
2015,453646
2017,455009
2015,455119
2018,455119
2019,455119
2021,455119
2017,455374
2017,455376
2015,456027
2019,456051
2017,456379
2015,456496
2015,456696
2017,456696
2018,456696
2019,456696
2016,456713
2017,456713
2018,456713
2021,456713
2015,456776
2015,457117
2017,457117
2015,457429
2016,457429
2017,457429
2018,457429
2015,457435
2016,457435
2015,457732
2016,457732
2017,457732
2015,457744
2015,457754
2018,457754
2019,457754
2016,457768
2017,457768
2016,457915
2017,457915
2018,457915
2021,457915
2015,458006
2016,458006
2018,458006
2016,458537
2015,458584
2016,458584
2017,458584
2018,458584
2019,458584
2021,458676
2016,458677
2018,458677
2019,458677
2021,458677
2015,458678
2016,458678
2017,458690
2018,458690
2021,458708
2015,458730
2016,458730
2015,458919
2018,458924
2019,458924
2015,459429
2016,459429
2017,459429
2018,459429
2019,459429
2021,459429
2015,459967
2015,459987
2015,460008
2015,460024
2016,460024
2015,460156
2017,460269
2015,460283
2016,460283
2017,460283
2018,460283
2019,460283
2015,460701
2016,460701
2019,461325
2021,461325
2018,461833
2015,461872
2016,461872
2018,461872
2019,461872
2021,461872
2017,462382
2018,462382
2015,462515
2016,462515
2017,462515
2015,462945
2016,462985
2015,464416
2015,465629
2017,465629
2017,465657
2021,465657
2015,465679
2015,466948
2017,466948
2016,467008
2018,467008
2019,467008
2015,467785
2016,468396
2015,469134
2016,471822
2017,471822
2015,472551
2016,472551
2017,472551
2019,472551
2021,472551
2016,472610
2017,472610
2018,472610
2021,472610
2017,473879
2018,473879
2019,473879
2015,474029
2016,474029
2017,474029
2015,474284
2016,474284
2016,474521
2015,475054
2016,475054
2017,475054
2018,475054
2019,475054
2017,475479
2019,475479
2021,475479
2015,475857
2018,475857
2016,476123
2015,476570
2018,476589
2019,476589
2018,476594
2019,476594
2015,477229
2018,477569
2017,487675
2018,487675
2018,488748
2019,488748
2021,488748
2015,488786
2016,488786
2018,488786
2015,488846
2016,488846
2018,488846
2015,488984
2016,488984
2017,488984
2018,488984
2019,488984
2021,488984
2015,489002
2016,489002
2015,489039
2015,489265
2016,489265
2017,489265
2015,489294
2016,489294
2017,489294
2015,489295
2019,489295
2015,489334
2015,489446
2016,489446
2017,489446
2015,491159
2021,491624
2017,491646
2018,491646
2019,491646
2015,491703
2016,491703
2017,491703
2021,491703
2015,493157
2016,493157
2017,493157
2019,493200
2015,493247
2016,493247
2017,493247
2018,493247
2015,493603
2016,493603
2016,497807
2015,500610
2016,500610
2017,500610
2015,500721
2015,500724
2019,500724
2016,500765
2017,500765
2017,500872
2018,500872
2015,501563
2017,501563
2015,501593
2016,501593
2017,501593
2018,501593
2019,501593
2021,501593
2016,501625
2017,501625
2019,501625
2021,501625
2016,501697
2017,501697
2018,501697
2017,501789
2018,501789
2021,501789
2016,501817
2018,501817
2015,501822
2016,501822
2018,501822
2015,501925
2016,501925
2017,501925
2018,501925
2019,501925
2021,501925
2015,501955
2016,501955
2019,501992
2016,502004
2018,502004
2015,502010
2016,502026
2019,502026
2018,502028
2018,502032
2015,502051
2016,502051
2017,502051
2016,502083
2017,502083
2018,502083
2015,502085
2019,502085
2021,502085
2016,502087
2017,502130
2015,502154
2017,502154
2018,502154
2021,502154
2015,502162
2017,502179
2016,502202
2017,502202
2018,502202
2019,502202
2015,502239
2015,502260
2015,502264
2015,502272
2016,502272
2017,502272
2015,502304
2019,502304
2019,502327
2021,502327
2015,502381
2016,502381
2018,502381
2019,502381
2016,502457
2015,502462
2015,502522
2016,502522
2018,502522
2019,502522
2021,502522
2015,502578
2015,502593
2016,502593
2017,502593
2018,502593
2019,502593
