"pitcher","game_year","clusters"
112526,2015,3
112526,2016,2
112526,2017,3
112526,2018,3
115629,2015,2
136600,2015,2
150116,2015,3
150274,2015,2
150274,2016,3
150302,2015,2
150359,2015,4
217096,2015,4
218596,2015,3
234194,2015,2
276351,2015,4
276351,2016,4
276351,2017,3
276514,2015,2
276520,2017,4
276542,2015,5
276542,2016,3
276542,2017,2
279571,2015,3
279571,2016,3
279571,2017,3
279571,2018,3
279824,2015,3
282332,2015,6
282332,2016,3
282332,2017,3
282332,2018,3
282332,2019,3
285064,2015,4
285064,2016,4
285079,2015,4
285079,2016,4
285079,2017,4
329092,2015,2
346793,2015,3
346797,2015,2
346798,2015,9
346798,2016,3
346847,2015,5
400085,2015,2
400089,2015,2
407793,2015,8
407793,2016,6
407793,2017,3
407819,2015,2
407819,2016,2
407822,2015,4
407822,2016,4
407822,2017,4
407822,2018,5
407845,2015,4
407845,2016,4
407845,2017,3
407845,2018,5
407845,2019,2
407890,2015,3
407890,2016,3
407908,2015,3
407908,2016,2
408061,2015,3
408061,2016,3
408061,2017,3
408241,2015,3
408241,2016,5
408314,2018,2
421685,2015,4
424144,2015,3
424144,2016,3
424144,2017,2
424144,2018,4
424144,2019,3
424144,2021,2
424325,2015,1
425386,2015,9
425386,2017,3
425426,2016,2
425492,2015,5
425492,2016,5
425492,2017,2
425492,2018,3
425532,2015,4
425532,2016,3
425543,2015,2
425560,2015,2
425626,2015,2
425626,2016,3
425657,2015,3
425657,2016,3
425772,2018,1
425772,2019,2
425786,2015,3
425794,2015,2
425794,2016,5
425794,2017,6
425794,2018,4
425794,2019,4
425794,2021,4
425796,2015,2
425835,2015,3
425835,2016,6
425840,2015,3
425844,2015,3
425844,2016,3
425844,2017,4
425844,2018,4
425844,2019,4
425844,2021,8
425856,2015,2
425856,2016,4
429400,2015,2
429400,2016,2
429717,2015,3
429719,2015,3
429719,2016,3
429719,2017,4
429719,2018,3
429719,2019,3
429722,2015,4
429722,2016,3
429722,2017,2
429722,2018,2
429722,2019,2
429722,2021,2
429780,2015,3
429780,2016,3
429781,2015,3
429783,2015,2
430404,2015,1
430580,2015,3
430580,2016,3
430589,2015,3
430589,2016,4
430589,2017,2
430599,2015,5
430599,2016,7
430599,2017,3
430605,2015,2
430613,2015,2
430630,2015,4
430634,2016,2
430641,2015,4
430641,2016,3
430641,2017,3
430641,2018,3
430661,2015,2
430661,2016,2
430661,2017,2
430911,2015,2
430912,2015,3
430912,2016,3
430912,2017,3
430935,2015,4
430935,2016,9
430935,2017,5
430935,2018,3
430935,2019,4
430947,2017,1
431145,2019,2
431148,2015,5
431148,2016,3
431148,2021,3
431162,2015,4
432934,2015,4
432934,2016,3
432934,2017,2
433217,2017,1
433579,2015,4
433579,2016,4
433584,2015,4
433584,2016,2
433585,2015,3
433586,2015,4
433586,2016,5
433586,2017,3
433586,2018,3
433587,2015,4
433587,2016,3
433587,2017,3
