"name","key_mlbam","key_bbref"
"Jed Bradley",605152,"bradlje01"
"Casey Sadler",594987,"sadleca02"
"Hanley Ramirez",434670,"ramirha01"
"Tyler Smith",642094,"smithty01"
"Tony Sipp",448609,"sippto01"
"Ryan Vogelsong",285064,"vogelry01"
"Edwar Colina",666674,"colined01"
"Roberto Gómez",596816,"gomezro01"
"Jake Petricka",502593,"petrija01"
"Matt Hall",664180,"hallma02"
"Alex Mejia",622270,"mejiaal01"
"Troy Scribner",644428,"scribtr01"
"Dean Kiekhefer",518883,"kiekhde01"
"Wilson Ramos",467092,"ramoswi01"
"Jo-Jo Reyes",457456,"reyesjo03"
"Jordan Pacheco",457574,"pachejo01"
"Justin Miller",502522,"milleju02"
"Brett Hayes",451109,"hayesbr01"
"Jordan Zimmermann",519455,"zimmejo02"
"Kyle Bird",613317,"birdky01"
"Dan Otero",519096,"oteroda01"
"Rafael Ynoa",501255,"ynoara01"
"Odrisamer Despaigne",628333,"despaod01"
"Daniel Nava",537953,"navada01"
"Patrick Schuster",572119,"schuspa01"
"Stephen Gonsalves",624427,"gonsast01"
"Collin Cowgill",518577,"cowgico01"
"Brandon Barnes",488681,"barnebr02"
"Preston Claiborne",502011,"claibpr01"
"Spencer Turnbull",605513,"turnbsp01"
"Jordan Danks",458668,"danksjo02"
"Matt Adams",571431,"adamsma01"
"Grant Green",502205,"greengr01"
"Brandyn Sittinger",670087,"sittibr01"
"Brailyn Marquez",666622,"marqubr01"
"Garrett Crochet",676979,"crochga01"
"Beau Taylor",607333,"taylobe11"
"Matt Tracy",595441,"tracyma01"
"Jason García",592329,"garcija03"
"Jen-Ho Tseng",627500,"tsengje01"
"Carlos Peguero",451713,"pegueca01"
"Khris Davis",501981,"daviskh01"
"A. J. Cole",595918,"coleaj01"
"Greg Garcia",594824,"garcigr01"
"Austen Williams",657117,"williau01"
"Ian Parmley",622210,"parmlia01"
"Cam Bedrosian",592135,"bedroca01"
"Chad Billingsley",451532,"billich01"
"Devin Mesoraco",519023,"mesorde01"
"Daniel Muno",594940,"munoda01"
"César Puello",527049,"puellce01"
"Coco Crisp",424825,"crispco01"
"Tyson Ross",475115,"rossty01"
"Ben Bowden",641386,"bowdebe01"
"Josh Edgin",572831,"edginjo01"
"Kevin Gregg",276514,"greggke01"
"Logan Morrison",489149,"morrilo01"
"Jose Tabata",467798,"tabatjo01"
"Brian Duensing",488846,"duensbr01"
"Jonathan Lucroy",518960,"lucrojo01"
"Shawn Kelley",518875,"kellesh01"
"Kyle Martin",573016,"martiky01"
"Edgar García",658305,"garcied01"
"Miguel Del Pozo",600887,"delpomi01"
"J. R. Murphy",571974,"murphjr01"
