"name","key_mlbam","key_bbref","key_fangraphs"
"Jed Bradley",605152,"bradlje01",13166
"Casey Sadler",594987,"sadleca02",11209
"Hanley Ramirez",434670,"ramirha01",8001
"Tyler Smith",642094,"smithty01",12490
"Tony Sipp",448609,"sippto01",8280
"Ryan Vogelsong",285064,"vogelry01",1011
"Edwar Colina",666674,"colined01",20589
"Roberto Gómez",596816,"gomezro01",12963
"Jake Petricka",502593,"petrija01",10534
"Matt Hall",664180,"hallma02",18076
"Alex Mejia",622270,"mejiaal01",13877
"Troy Scribner",644428,"scribtr01",15570
"Dean Kiekhefer",518883,"kiekhde01",10529
"Wilson Ramos",467092,"ramoswi01",1433
"Jo-Jo Reyes",457456,"reyesjo03",5559
"Jordan Pacheco",457574,"pachejo01",2677
"Justin Miller",502522,"milleju02",8580
"Brett Hayes",451109,"hayesbr01",4293
"Jordan Zimmermann",519455,"zimmejo02",4505
"Kyle Bird",613317,"birdky01",16618
"Dan Otero",519096,"oteroda01",7385
"Rafael Ynoa",501255,"ynoara01",2832
"Odrisamer Despaigne",628333,"despaod01",16017
"Daniel Nava",537953,"navada01",5450
"Patrick Schuster",572119,"schuspa01",10029
"Stephen Gonsalves",624427,"gonsast01",15492
"Collin Cowgill",518577,"cowgico01",7250
"Brandon Barnes",488681,"barnebr02",629
"Preston Claiborne",502011,"claibpr01",10500
"Spencer Turnbull",605513,"turnbsp01",16207
"Jordan Danks",458668,"danksjo02",9187
"Matt Adams",571431,"adamsma01",9393
"Grant Green",502205,"greengr01",10053
"Brandyn Sittinger",670087,"sittibr01",19192
"Brailyn Marquez",666622,"marqubr01",21896
"Garrett Crochet",676979,"crochga01",27463
"Beau Taylor",607333,"taylobe11",12384
"Matt Tracy",595441,"tracyma01",12240
"Jason García",592329,"garcija03",12143
"Jen-Ho Tseng",627500,"tsengje01",15524
"Carlos Peguero",451713,"pegueca01",8760
"Khris Davis",501981,"daviskh01",9112
"A. J. Cole",595918,"coleaj01",11467
"Greg Garcia",594824,"garcigr01",10951
"Austen Williams",657117,"williau01",16309
"Ian Parmley",622210,"parmlia01",13821
"Cam Bedrosian",592135,"bedroca01",13360
"Chad Billingsley",451532,"billich01",5842
"Devin Mesoraco",519023,"mesorde01",5666
"Daniel Muno",594940,"munoda01",12214
"César Puello",527049,"puellce01",7216
"Coco Crisp",424825,"crispco01",1572
"Tyson Ross",475115,"rossty01",7872
"Ben Bowden",641386,"bowdebe01",20198
"Josh Edgin",572831,"edginjo01",10796
"Kevin Gregg",276514,"greggke01",1793
"Logan Morrison",489149,"morrilo01",9205
"Jose Tabata",467798,"tabatjo01",2411
"Brian Duensing",488846,"duensbr01",4064
"Jonathan Lucroy",518960,"lucrojo01",7870
"Shawn Kelley",518875,"kellesh01",7773
"Kyle Martin",573016,"martiky01",14860
"Edgar García",658305,"garcied01",19276
"Miguel Del Pozo",600887,"delpomi01",18792
"J. R. Murphy",571974,"murphjr01",10346
"Chris Rearick",595371,"rearich01",11050
"Tyler Bashlor",641341,"bashlty01",15203
"Jeanmar Gómez",491646,"gomezje01",9033
"Jose De Paula",517059,"depaujo02",5744
"Sam LeCure",459967,"lecursa01",4664
"Justin Hancock",606995,"hancoju01",12316
"Kyle Funkhouser",608335,"funkhky01",19456
"Iván De Jesús",474443,"dejesiv02",9886
"Seth Elledge",676220,"elledse01",19766
"Masahiro Tanaka",547888,"tanakma01",15764
"Joe Blanton",430599,"blantjo01",4849
"Francisco Peña",506747,"penafr01",8298
"Jeff Ferrell",594815,"ferreje01",11506
"Layne Somsen",643550,"somsela01",15301
"Zach Neal",594943,"nealza01",11294
"Carson Blair",542942,"blairca01",5429
"Luis Marté",606336,"martelu02",14515
"Ryan Garton",623439,"gartory01",14016
"Yoervis Medina",500721,"medinyo01",10498
"Joe Harvey",642840,"harvejo01",16459
"Stephen Ridings",670050,"ridinst01",22358
"Josh Wilson",425543,"wilsojo03",2102
"Brandon Maurer",543506,"maurebr01",4878
"Victor Alcántara",622505,"alcanvi01",15028
"Tony Renda",573113,"rendato01",13443
"Ryan Webb",444436,"webbry01",7474
"Charlie Tilson",605508,"tilsoch01",12983
"Jacob Turner",545363,"turneja01",10185
"Héctor Rondón",444468,"rondohe01",2391
"Jon Lester",452657,"lestejo01",4930
"John Mayberry",460055,"maybejo02",3390
"Hernán Pérez",541650,"perezhe01",5751
"Sean Rodríguez",446481,"rodrise01",6589
"David Washington",572241,"washida01",12110
"Erick Mejia",625510,"mejiaer01",15817
"Dallas Beeler",542923,"beeleda01",11471
"Joel De La Cruz",503444,"delacjo01",12825
"Rubby De La Rosa",523989,"delarru01",3862
"Kevin Kramer",596012,"krameke01",17689
"Nick Swisher",430897,"swishni01",4599
"Rangel Ravelo",592660,"ravelra01",10839
"John Bormann",657524,"bormajo01",18006
"Zac Reininger",643617,"reiniza01",15285
"Ben Taylor",664701,"taylobe10",18114
"Tyler Chatwood",543022,"chatwty01",4338
"Carter Kieboom",666198,"kieboca01",19958
"Victor González",624647,"gonzavi02",16408
"Cory Rasmus",474284,"rasmuco02",2413
"Chris Withrow",519437,"withrch01",7161
"Angel Castro",502162,"castran01",3243
"José Mujica",620445,"mujicjo01",17821
"Danny Worth",519445,"worthda01",198
"Pablo Sandoval",467055,"sandopa01",5409
"Brooks Kriske",621139,"kriskbr01",21189
"Nate Pearson",663878,"pearsna01",20160
"Willy García",591994,"garciwi01",12956
"Jabari Blash",518466,"blashja01",11247
"Brandon Kintzler",445213,"kintzbr01",9939
"Brian Johnson",598271,"johnsbr02",14272
"Joe Palumbo",643478,"palumjo01",17035
"Ryan Eades",592280,"eadesry01",14808
"Myles Jaye",594867,"jayemy01",11769
"Clay Buchholz",453329,"buchhcl01",3543
"Adam Rosales",489267,"rosalad01",9682
"Paul Campbell",669294,"campbpa02",22248
"Garrett Jones",434540,"jonesga02",2714
"Brandon Morrow",453344,"morrobr01",9346
"Daniel Stumpf",621385,"stumpda01",13780
"Brody Koerner",621259,"koernbr01",17748
"Aaron Wilkerson",658792,"wilkeaa01",16904
"Joshua Fuentes",658069,"fuentjo01",16885
"Jason Gurka",543261,"gurkaja01",8007
"Taylor Jungmann",543380,"jungmta01",13119
"Matt Reynolds",519186,"reynoma02",8887
"Osmer Morales",591672,"moralos01",17133
"Eddie Gamboa",543195,"gamboed01",6911
"Iván Nova",467100,"novaiv01",1994
"Jarrett Parker",592620,"parkeja03",11624
"Yefri Pérez",570639,"perezye01",12090
"Brandon Brennan",592165,"brennbr01",13527
"Jesús Reyes",660875,"reyesje01",19277
"Juan Nicasio",504379,"nicasju01",7731
"Erick Castillo",602080,"castier01",12990
"Mike Bolsinger",502211,"bolsimi01",11137
"Eduardo Jiménez",621592,"jimened01",19642
"Tyler Austin",592122,"austity01",11850
"Dexter Fowler",451594,"fowlede01",4062
"Adrián Beltré",134181,"beltrad01",639
"Edwin Escobar",546276,"escobed02",10337
"Mike Pelfrey",460059,"pelfrmi01",5203
"Christin Stewart",621514,"stewach02",17714
"José Martínez",500874,"martijo08",7996
"Jered Weaver",450308,"weaveje02",4235
"Griffin Canning",656288,"cannigr01",19867
"Zach Putnam",474029,"putnaza01",9080
"Alex Meyer",543542,"meyeral01",12833
"Ryan Schimpf",572114,"schimry01",9953
"Chris Capuano",425626,"capuach01",1701
"Matt Belisle",279571,"belisma01",1837
"Devon Travis",581527,"travide01",13862
"Dustin Antolin",542884,"antoldu01",7119
"Bruce Rondón",541652,"rondobr01",5766
"Bartolo Colon",112526,"colonba01",375
"Cesár Ramos",459987,"ramosce01",3357
"Henderson Alvarez",506693,"alvarhe01",5669
"Addison Reed",592665,"reedad01",10586
"Arnold Leon",504186,"leonar01",5595
"Brad Ziegler",446899,"zieglbr01",7293
"Roberto Hernandez",433584,"carmofa01",3273
"Daniel Murphy",502517,"murphda08",4316
"Rafael Soriano",400089,"soriara01",1100
"Rex Brothers",571521,"brothre01",9794
"Henry Owens",596064,"owenshe02",13143
"Rico Noel",592596,"noelri02",10585
"Chris Marrero",502029,"marrech01",2852
"Manny Barreda",518435,"barrema03",10148
"Bryan Holaday",592407,"holadbr01",11287
"Jeremy Walker",668683,"walkeje02",19981
"Jhonatan Solano",500207,"solanjh01",7515
"Cody Anderson",594736,"anderco01",12799
"José Torres",600526,"torrejo02",14957
"Kyle Hart",606996,"hartky01",19646
"Michael Saunders",459431,"saundmi01",9981
"Jacoby Ellsbury",453056,"ellsbja01",4727
"Ryan Merritt",607320,"merriry01",13688
"Cy Sneed",605482,"sneedcy01",16106
"Danny Barnes",592130,"barneda02",11388
"Preston Guilmet",543258,"guilmpr01",7303
"Edgar Olmos",543607,"olmosed01",10174
"Lucas Harrell",449173,"harrelu01",7541
"Bruce Maxwell",622194,"maxwebr01",13866
"Cody Allen",592102,"allenco01",12183
"Donovan Hand",518764,"handdo01",8728
"Pat Light",572990,"lightpa01",13427
"Richard Urena",620446,"urenari01",16411
"Humberto Arteaga",600858,"arteahu01",13595
"Jason Pridie",445095,"pridija01",4611
"Travis Ishikawa",448170,"ishiktr01",4793
"Juan Graterol",492802,"grateju01",5398
"Jon Jay",445055,"jayjo02",5227
"Johneshwy Fargas",641561,"fargajo01",16446
"Danny Burawa",592181,"burawda01",11397
"Alexi Amarista",506560,"amarial01",9063
"Edubray Ramos",591693,"ramosed02",16086
"Shane Peterson",451089,"petersh01",7423
"Nick Vincent",543883,"vinceni01",7555
"José Devers",672701,"deverjo01",20540
"Tuffy Gosewisch",488912,"gosewtu01",5277
"Thomas Pannone",623381,"pannoth01",17281
